date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:06:22	142072/142072	---M--	200	added ('OK')	application/font-sfnt	etag:%22a3de2170e4e9df77161ea5d3f31b2668%22	http://r4ds.had.co.nz/libs/gitbook-2.6.7/css/fontawesome/fontawesome-webfont.ttf?v=4.1.0	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/libs/gitbook-2.6.7/css/fontawesome/fontawesome-webfont862f.ttf	(from http://r4ds.had.co.nz/libs/gitbook-2.6.7/css/style.css)
23:06:25	37136/37136	---M--	200	added ('OK')	image/png	etag:%2294ecb5dc5585d2047776acb038b9c7a8%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-9-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-9-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:27	64752/64752	---M--	200	added ('OK')	image/png	etag:%221b3deb011e4fd613f880978b92081568%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-8-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-8-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:29	35014/35014	---M--	200	added ('OK')	image/png	etag:%22e526eddc0a39dac18bd6683a24a263ff%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-10-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-10-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:30	25473/25473	---M--	200	added ('OK')	image/png	etag:%2283373e23fa7638bc945629c2416c8bcc%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-10-2.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-10-2.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:36	30644/30644	---M--	200	added ('OK')	image/png	etag:%224793ac488c6a002a9a9317920aa10d71%22	http://r4ds.had.co.nz/visualize_files/figure-html/shapes-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/shapes-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:36	47633/47633	---M--	200	added ('OK')	image/png	etag:%222095b03e84b3ded8d5e72a629169da33%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-11-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-11-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:41	50837/50837	---M--	200	added ('OK')	image/png	etag:%227e00e809126cf908acfb1a533a35e409%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-12-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-12-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:44	32405/32405	---M--	200	added ('OK')	image/png	etag:%22c5889e876322ced545bb25fc42708add%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-13-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-13-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
23:06:44	26952/26952	---M--	200	added ('OK')	image/png	etag:%224c0cc7abc100445e14930d318c25937d%22	http://r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-14-1.png	/Users/chou/websites/rstudio_book/r4ds.had.co.nz/visualize_files/figure-html/unnamed-chunk-14-1.png	(from http://r4ds.had.co.nz/data-visualisation.html)
